time_iso,id3_deg,id4_deg,id5_deg,id3_ticks,id4_ticks,id5_ticks
2025-10-25T16:40:15.680,199.951172,179.033203,165.849609,2275,2037,1887
2025-10-25T16:40:15.728,199.863281,178.593750,162.421875,2274,2032,1848
2025-10-25T16:40:15.776,199.775391,178.593750,159.521484,2273,2032,1815
2025-10-25T16:40:15.824,199.599609,178.505859,157.412109,2271,2031,1791
2025-10-25T16:40:15.872,199.335938,178.066406,156.269531,2268,2026,1778
2025-10-25T16:40:15.920,199.072266,177.187500,155.917969,2265,2016,1774
2025-10-25T16:40:15.968,198.984375,175.869141,155.917969,2264,2001,1774
2025-10-25T16:40:16.016,198.984375,174.550781,156.269531,2264,1986,1778
2025-10-25T16:40:16.064,199.511719,174.638672,156.181641,2270,1987,1777
2025-10-25T16:40:16.112,199.775391,175.166016,156.181641,2273,1993,1777
2025-10-25T16:40:16.160,200.039062,176.748047,156.357422,2276,2011,1779
2025-10-25T16:40:16.208,200.039062,179.736328,156.357422,2276,2045,1779
2025-10-25T16:40:16.256,199.951172,184.482422,156.269531,2275,2099,1778
2025-10-25T16:40:16.304,199.863281,190.546875,156.269531,2274,2168,1778
2025-10-25T16:40:16.352,199.775391,196.962891,156.181641,2273,2241,1777
2025-10-25T16:40:16.400,199.863281,201.884766,156.181641,2274,2297,1777
2025-10-25T16:40:16.448,199.863281,205.927734,156.181641,2274,2343,1777
2025-10-25T16:40:16.496,199.863281,208.125000,156.093750,2274,2368,1776
2025-10-25T16:40:16.544,199.951172,208.388672,156.093750,2275,2371,1776
2025-10-25T16:40:16.592,200.126953,208.388672,156.357422,2277,2371,1779
2025-10-25T16:40:16.640,200.214844,208.388672,156.445312,2278,2371,1780
2025-10-25T16:40:16.688,200.302734,208.388672,156.445312,2279,2371,1780
2025-10-25T16:40:16.736,200.478516,208.388672,156.533203,2281,2371,1781
2025-10-25T16:40:16.784,200.830078,208.212891,156.621094,2285,2369,1782
2025-10-25T16:40:16.832,201.093750,207.597656,157.148438,2288,2362,1788
2025-10-25T16:40:16.880,201.357422,206.191406,158.291016,2291,2346,1801
2025-10-25T16:40:16.928,201.445312,203.818359,160.488281,2292,2319,1826
2025-10-25T16:40:16.976,201.533203,200.390625,164.091797,2293,2280,1867
2025-10-25T16:40:17.024,201.972656,196.259766,168.574219,2298,2233,1918
2025-10-25T16:40:17.072,202.763672,191.865234,173.408203,2307,2183,1973
2025-10-25T16:40:17.120,204.257812,187.558594,177.626953,2324,2134,2021
2025-10-25T16:40:17.168,206.015625,183.603516,180.175781,2344,2089,2050
2025-10-25T16:40:17.216,206.982422,180.439453,181.494141,2355,2053,2065
2025-10-25T16:40:17.264,207.333984,177.890625,181.582031,2359,2024,2066
2025-10-25T16:40:17.312,207.949219,175.781250,181.494141,2366,2000,2065
2025-10-25T16:40:17.360,209.091797,174.111328,181.494141,2379,1981,2065
2025-10-25T16:40:17.408,210.937500,173.056641,181.494141,2400,1969,2065
2025-10-25T16:40:17.456,213.310547,172.880859,181.494141,2427,1967,2065
2025-10-25T16:40:17.504,216.210938,172.880859,181.494141,2460,1967,2065
2025-10-25T16:40:17.552,219.902344,173.144531,181.494141,2502,1970,2065
2025-10-25T16:40:17.600,222.802734,173.320312,181.494141,2535,1972,2065
2025-10-25T16:40:17.648,224.648438,173.408203,181.494141,2556,1973,2065
2025-10-25T16:40:17.696,225.263672,173.320312,181.582031,2563,1972,2066
2025-10-25T16:40:17.744,225.263672,173.408203,181.494141,2563,1973,2065
2025-10-25T16:40:17.792,225.175781,173.408203,181.494141,2562,1973,2065
2025-10-25T16:40:17.840,224.912109,173.496094,181.406250,2559,1974,2064
2025-10-25T16:40:17.888,224.384766,173.671875,181.230469,2553,1976,2062
2025-10-25T16:40:17.936,224.472656,174.462891,180.878906,2554,1985,2058
2025-10-25T16:40:17.984,224.384766,176.220703,180.087891,2553,2005,2049
2025-10-25T16:40:18.032,224.384766,179.121094,178.505859,2553,2038,2031
2025-10-25T16:40:18.080,224.121094,183.339844,176.308594,2550,2086,2006
2025-10-25T16:40:18.128,223.945312,188.261719,173.671875,2548,2142,1976
2025-10-25T16:40:18.176,223.857422,193.183594,170.244141,2547,2198,1937
2025-10-25T16:40:18.224,223.857422,196.523438,166.992188,2547,2236,1900
2025-10-25T16:40:18.272,223.681641,198.896484,163.828125,2545,2263,1864
2025-10-25T16:40:18.320,223.417969,199.511719,161.191406,2542,2270,1834
2025-10-25T16:40:18.368,222.802734,199.951172,158.906250,2535,2275,1808
2025-10-25T16:40:18.416,221.660156,200.039062,157.060547,2522,2276,1787
2025-10-25T16:40:18.464,220.078125,200.039062,155.566406,2504,2276,1770
2025-10-25T16:40:18.512,219.023438,200.126953,154.072266,2492,2277,1753
2025-10-25T16:40:18.560,218.408203,200.126953,152.578125,2485,2277,1736
2025-10-25T16:40:18.608,218.320312,200.126953,150.908203,2484,2277,1717
2025-10-25T16:40:18.656,218.583984,200.214844,149.150391,2487,2278,1697
2025-10-25T16:40:18.704,218.671875,200.478516,147.568359,2488,2281,1679
2025-10-25T16:40:18.752,218.847656,201.181641,146.162109,2490,2289,1663
2025-10-25T16:40:18.800,218.847656,202.148438,145.458984,2490,2300,1655
2025-10-25T16:40:18.848,218.320312,202.675781,145.810547,2484,2306,1659
2025-10-25T16:40:18.896,217.880859,202.324219,145.810547,2479,2302,1659
2025-10-25T16:40:18.944,217.705078,201.972656,145.810547,2477,2298,1659
2025-10-25T16:40:18.992,217.353516,200.830078,145.722656,2473,2285,1658
2025-10-25T16:40:19.040,217.001953,198.281250,145.458984,2469,2256,1655
2025-10-25T16:40:19.088,216.386719,193.886719,145.458984,2462,2206,1655
2025-10-25T16:40:19.136,215.859375,187.734375,145.546875,2456,2136,1656
2025-10-25T16:40:19.184,215.947266,180.439453,145.810547,2457,2053,1659
