time_iso,id3_ticks,id4_ticks,id5_ticks,t_sec
2025-10-25 17:39:30.781770,1458,2261,1937,10.831423
2025-10-25 17:39:30.877751,1472,2231,1938,10.927404
2025-10-25 17:39:30.973940,1482,2187,1938,11.023593
2025-10-25 17:39:31.069766,1490,2134,1937,11.119419
2025-10-25 17:39:31.165758,1501,2085,1938,11.215411
2025-10-25 17:39:31.261747,1511,2051,1938,11.3114
2025-10-25 17:39:31.357743,1514,2029,1949,11.407396
2025-10-25 17:39:31.453854,1517,2005,1978,11.503507
2025-10-25 17:39:31.549737,1521,1965,2017,11.59939
2025-10-25 17:39:31.645728,1527,1921,2052,11.695381
2025-10-25 17:39:31.741724,1532,1876,2079,11.791377
2025-10-25 17:39:31.837753,1534,1828,2086,11.887406
2025-10-25 17:39:31.933691,1536,1779,2085,11.983344
2025-10-25 17:39:32.029696,1540,1728,2080,12.079349
2025-10-25 17:39:32.125753,1539,1685,2079,12.175406
2025-10-25 17:39:32.221751,1540,1655,2078,12.271404
2025-10-25 17:39:32.317687,1543,1644,2072,12.36734
2025-10-25 17:39:32.413748,1546,1645,2042,12.463401
2025-10-25 17:39:32.509816,1552,1651,2011,12.559469
2025-10-25 17:39:32.605667,1557,1651,2009,12.65532
2025-10-25 17:39:32.701760,1565,1651,2007,12.751413
2025-10-25 17:39:32.797656,1579,1652,2000,12.847309
2025-10-25 17:39:32.909642,1602,1666,1974,12.959295
2025-10-25 17:39:33.021645,1639,1698,1936,13.071298
2025-10-25 17:39:33.117663,1681,1716,1920,13.167316
2025-10-25 17:39:33.213681,1726,1714,1917,13.263334
2025-10-25 17:39:33.309636,1785,1714,1917,13.359289
2025-10-25 17:39:33.405640,1846,1714,1917,13.455293
