time_iso,t_sec,id6_ticks,id7_ticks,id8_ticks
2025-10-25 17:39:30.685857,10.73551,1622,2272,2620
2025-10-25 17:39:30.781770,10.831423,1629,2261,2620
2025-10-25 17:39:30.877751,10.927404,1643,2231,2620
2025-10-25 17:39:30.973940,11.023593,1653,2187,2620
2025-10-25 17:39:31.069766,11.119419,1661,2134,2620
2025-10-25 17:39:31.165758,11.215411,1672,2085,2620
2025-10-25 17:39:31.261747,11.3114,1682,2051,2620
2025-10-25 17:39:31.357743,11.407396,1685,2029,2632
2025-10-25 17:39:31.453854,11.503507,1688,2005,2660
2025-10-25 17:39:31.549737,11.59939,1692,1965,2700
2025-10-25 17:39:31.645728,11.695381,1698,1921,2734
2025-10-25 17:39:31.741724,11.791377,1703,1876,2762
2025-10-25 17:39:31.837753,11.887406,1705,1828,2768
2025-10-25 17:39:31.933691,11.983344,1707,1779,2768
2025-10-25 17:39:32.029696,12.079349,1711,1728,2762
2025-10-25 17:39:32.125753,12.175406,1710,1685,2762
2025-10-25 17:39:32.221751,12.271404,1711,1655,2760
2025-10-25 17:39:32.317687,12.36734,1714,1644,2754
2025-10-25 17:39:32.413748,12.463401,1717,1645,2724
2025-10-25 17:39:32.509816,12.559469,1723,1651,2694
2025-10-25 17:39:32.605667,12.65532,1728,1651,2692
2025-10-25 17:39:32.701760,12.751413,1736,1651,2690
2025-10-25 17:39:32.797656,12.847309,1750,1652,2682
2025-10-25 17:39:32.909642,12.959295,1773,1666,2656
2025-10-25 17:39:33.021645,13.071298,1810,1698,2618
2025-10-25 17:39:33.117663,13.167316,1852,1716,2602
2025-10-25 17:39:33.213681,13.263334,1897,1714,2600
2025-10-25 17:39:33.309636,13.359289,1956,1714,2600
2025-10-25 17:39:33.405640,13.455293,2017,1714,2600
